"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.900,0.70,-2.45,-4.15,0.900,1.84,0.00,-0.02,0.900,0.84,2.67,265.79,0.900,0.35,-2.52,-2.21,0.900,0.62,-2.06,-3.25,0.900,0.17,-1.92,26.05,0.900,0.24,-2.02,4.59,0.900,0.37,-1.70,-1.07,0.900,0.34,-1.36,-1.28,0.900,0.92,-0.77,-0.85
0.920,0.65,-2.52,-3.93,0.920,1.84,0.00,0.00,0.920,1.82,5.80,168.58,0.920,0.30,-2.56,0.24,0.920,0.58,-2.13,-2.65,0.920,0.12,-1.15,31.90,0.920,0.20,-1.95,11.50,0.920,0.34,-1.73,-0.97,0.920,0.32,-1.42,-2.42,0.920,0.91,-0.81,-1.02
0.940,0.60,-2.60,-3.96,0.940,1.84,-3.82E-4,0.04,0.940,1.83,8.27,-76.77,0.940,0.25,-2.60,8.81,0.940,0.53,-2.18,-1.66,0.940,0.13,-0.30,143.20,0.940,0.16,-1.53,191.53,0.940,0.31,-1.74,-0.68,0.940,0.28,-1.50,-1.74,0.940,0.89,-0.83,-0.56
0.960,0.55,-2.68,-3.97,0.960,1.84,0.00,,0.960,1.82,-0.19,-124.96,0.960,0.20,-2.37,23.77,0.960,0.49,-2.19,-0.98,0.960,0.13,-0.10,369.18,0.960,0.12,-1.12,541.22,0.960,0.27,-1.75,-0.44,0.960,0.25,-1.52,-0.08,0.960,0.87,-0.83,0.01
0.980,0.49,-2.76,-3.87,0.980,1.84,0.01,,0.980,1.83,-0.56,-68.41,0.980,0.15,-1.65,35.71,0.980,0.44,-2.20,-1.04,0.980,0.14,14.21,499.95,0.980,0.12,20.14,713.13,0.980,0.24,-1.76,1.87,0.980,0.22,-1.47,2.16,0.980,0.86,-0.82,0.03
1.000,0.44,-2.84,-3.53,1.000,1.84,,,1.000,1.80,-0.37,13.96,1.000,0.13,-0.65,33.51,1.000,0.40,-2.23,-1.55,1.000,0.10,28.64,208.98,1.000,0.09,41.33,362.62,1.000,0.20,-1.77,8.84,1.000,0.20,-1.46,6.51,1.000,0.84,-0.82,-0.24
1.020,0.38,-2.91,-2.97,,,,,1.020,1.78,0.24,14.95,1.020,0.13,-0.03,9.85,1.020,0.36,-2.27,-1.37,1.020,1.85,30.95,-342.16,1.020,2.60,41.59,-337.55,1.020,0.17,-1.51,18.00,1.020,0.17,-1.30,13.30,1.020,0.82,-0.84,-0.21
1.040,0.32,-2.96,1.19,,,,,1.040,1.82,0.69,-0.07,1.040,0.14,0.03,-22.49,1.040,0.31,-2.31,-0.58,1.040,1.84,8.23,-554.47,1.040,2.60,20.94,-589.59,1.040,0.13,-0.94,195.09,1.040,0.14,-0.91,18.70,1.040,0.81,-0.84,-0.04
1.060,0.26,-3.00,4.23,,,,,1.060,1.83,0.18,-11.85,1.060,0.13,-1.15,-36.41,1.060,0.26,-2.28,1.30,1.060,2.11,-6.44,,1.060,2.60,0.02,-492.67,1.060,0.13,-0.42,536.04,1.060,0.13,-0.43,17.74,1.060,0.79,-0.82,-0.40
1.080,0.20,-2.61,3.32,,,,,1.080,1.83,-0.32,-6.10,1.080,0.13,-2.23,-17.55,1.080,0.22,-2.28,152.02,1.080,0.84,-0.50,,1.080,2.61,12.15,-399.96,1.080,0.13,20.56,700.67,1.080,0.13,-0.09,9.77,1.080,0.77,-0.84,-1.25
